Feature,Importance
remainder__area,0.439284121851826
remainder__total_rooms,0.10663960173042096
remainder__bathrooms,0.08868094240235339
remainder__parking,0.04587757701768072
remainder__stories,0.043600698603545075
remainder__property_age,0.034373967104040275
remainder__year_built,0.03317766035120942
cat__furnishingstatus_unfurnished,0.031381105011786425
cat__airconditioning_yes,0.027755224621874332
cat__airconditioning_no,0.026263735162346084
cat__prefarea_yes,0.01617173344961141
cat__prefarea_no,0.014601530173488348
remainder__bedrooms,0.014042497578253772
cat__basement_yes,0.0130560152702073
cat__basement_no,0.012680564240434533
cat__furnishingstatus_semi-furnished,0.009098392497657542
cat__hotwaterheating_no,0.0085191171912289
cat__hotwaterheating_yes,0.0075219272504035185
cat__furnishingstatus_furnished,0.007424759736463198
cat__guestroom_no,0.006897410041072575
cat__guestroom_yes,0.00543037507418761
cat__mainroad_yes,0.00409464444617114
cat__mainroad_no,0.003426399193737412
